year,United States,California
1985,2911.2,3379.4
1986,3022.1,3383.9
1987,3095.4,3240.2
1988,3151.7,3314.5
1989,3189.6,3346.5
1990,3185.1,3197.5
1991,3229.1,3246
1992,3103.6,3137.8
1993,3033.9,3029.1
1994,3026.9,2957.7
1995,3043.2,2856.9
1996,2980.3,2605.1
1997,2891.8,2430.9
1998,2729.5,2217.1
1999,2550.7,1994.2
2000,2477.3,1924.5
2001,2485.7,2016.6
2002,2450.7,2044.7
2003,2416.5,2062.7
2004,2362.3,2033.1
2005,2287.8,1915.3
2006,2213.2,1835.3
2007,2185.4,1790.6
2008,2166.1,1770.2
2009,2064.5,1665
2010,2005.8,1608.4
2011,1974.1,1584
2012,1965.4,1671.3
2013,1901.9,1617.3
2014,1821.5,1527.8
2015,1783.6,1683.6
2016,1745.4,1621
2017,1695.5,1629.5
2018,1601.6,1575.7
2019,1569.2,1589.5
2020,1398,1341.7
